,Median_correlation
Anet_features.2,0.18546858637548003
Anet_features.5,0.19518738617832287
Anet_features.7,0.19444075080136236
Anet_features.9,0.19611170911869413
Anet_features.12,0.20502299739452468
Anet_classifier.2,0.2027352227486825
Anet_classifier.5,0.2025946418493239
Anet_classifier.6,0.20353292248995375
