features.2,features.5,features.7,features.9,features.12,classifier.2,classifier.5,classifier.6
0.1485803811412097,0.16128195855478075,0.15991972686388956,0.16348457728117122,0.17893176512635922,0.17197857724549206,0.1842101774221828,0.18379542650352626
0.17247893365882913,0.17533607493072162,0.17556935740526933,0.1756345686409224,0.18711018718965058,0.18847785293948324,0.19065101500324158,0.18742335212791408
0.06047834639292722,0.06529572399246285,0.0700325153225769,0.07927720481501697,0.08790915543386457,0.07979180364837844,0.07302563295471917,0.07436875286399641
0.060450916686126246,0.06504650292105271,0.0634604342542881,0.06143930776773326,0.07355140042618023,0.07586584489945446,0.0727748395865965,0.0730096523484836
0.1053274432157116,0.12896750086479436,0.1266684241936627,0.1260809160513857,0.1299319006011636,0.13504305195113436,0.1295405206886653,0.13338692121887766
0.2448773265990692,0.2623018893008156,0.2652354172697629,0.27001645838842303,0.26214433591849085,0.26274642901975953,0.27518460012889506,0.25828615306537994
0.20506167852572488,0.17957777373950204,0.17140238580568037,0.17902336085999587,0.21210431668416188,0.21414854386530602,0.202573940822771,0.21486183716012508
0.2397636117627085,0.24833615187976193,0.24931517633149222,0.2471605627177449,0.2644533423567346,0.2545892435905764,0.2508487397979832,0.24472871022553494
0.31864580824968713,0.32857483983840313,0.32311468215223305,0.31882474245321657,0.32753273477544415,0.3126782375187757,0.309382097767995,0.3085327047990395
0.20430625954858359,0.21329566421791593,0.21563142012432024,0.210643040202919,0.20844201341924645,0.20918353729704114,0.21159427449737309,0.20500565250288993
0.2568773226071376,0.24091352955111275,0.2464260227534846,0.2535781268591165,0.26165816734031055,0.2676625711912372,0.2647009241770811,0.27379886264206743
0.2018932061406198,0.16836018017187165,0.16203807142790688,0.1721020928032891,0.2067161057819583,0.1926077765874396,0.18570278491431286,0.1981658117242154
0.14231210488273274,0.12907270450574415,0.12216532320163785,0.12962071311967374,0.1488669426270746,0.13501901375523814,0.13572885691723605,0.13772519093612223
0.3157882850997104,0.36571542580544714,0.35928557836459335,0.3598822180395994,0.3720120493017327,0.3668694745500791,0.36301134694977283,0.372210355588535
